"","x"
"532",518200
"533",347400
"534",192600
"535",268900
"536",587800
"537",313900
"538",350900
"539",378700
"540",365800
"541",312100
"542",395400
"543",281500
"544",572800
"545",263800
"546",250200
"547",517500
"548",297300
"549",498500
"550",298400
"551",338500
"552",321400
"553",507700
"554",213800
"555",216100
"556",342900
"557",290400
"558",224600
"559",286200
"560",736800
"561",365200
"562",218500
"563",343200
"564",306400
"565",398800
"566",423500
"567",373900
"568",416800
"569",285300
"570",315100
"571",1016400
"572",285100
"573",265800
"574",173300
"575",385700
"576",1163900
"577",237100
"578",256300
"579",222800
"580",584400
"581",233000
"582",471300
"583",978500
"584",211300
"585",237500
"586",717600
"587",210700
"588",299400
"589",414200
"590",323700
"591",269700
"592",225700
"593",284300
"594",585300
"595",319000
"596",621800
"597",612300
"598",279800
"599",244900
"600",249300
"601",426400
"602",258200
"603",645900
"604",194300
"605",378000
"606",344800
"607",338600
"608",395900
"609",278900
"610",378100
"611",491700
"612",352200
"613",326100
"614",189400
"615",427300
"616",466700
"617",466600
"618",443000
"619",244900
"620",388200
"621",281100
"622",234200
"623",597400
"624",294500
"625",691500
"626",377900
"627",234000
"628",375600
"629",307200
"630",344300
"631",404000
"632",547500
"633",552600
"634",332300
"635",303100
"636",244800
"637",185900
"638",344500
"639",315300
"640",269400
"641",375400
"642",348800
"643",517900
"644",524600
"645",307500
"646",433600
"647",257400
"648",224200
"649",268100
"650",194300
"651",253500
"652",324700
"653",326000
"654",335500
"655",394100
"656",345700
"657",283500
"658",468900
"659",305400
"660",544400
"661",399800
"662",491300
"663",273200
"664",496400
"665",270400
"666",346500
"667",543800
"668",166400
"669",311200
"670",260300
"671",252600
"672",411100
"673",308600
"674",293000
"675",82800
"676",532600
"677",424700
"678",1535400
"679",319300
"680",317400
"681",584500
"682",628500
"683",311700
"684",278400
"685",206200
"686",270900
"687",400700
"688",253600
"689",388000
"690",311800
"691",300100
"692",345100
"693",338500
"694",336800
"695",788800
"696",275600
"697",169500
"698",318500
"699",181600
