price, number, streetName, streetType, city, province
384900,317,Janette,street, Kingston, Ontario
439000,1417-1419,Montreal,street, Kingston, Ontario
484900,520,BETH,crescent, Kingston, Ontario
444900,223,PRINCESS,street, Kingston, Ontario
879900,240,MANN,drive, Kingston, Ontario
449900,137,Pauline Tom,avenue, Kingston, Ontario
384900,1230,CARFA,crescent, Kingston, Ontario
479000,1936,BATTERSEA,road, Glenburnie, Ontario
434800,1936,BATTERSEA,road, Kingston, Ontario
499900,1158,Halifax,drive, Kingston, Ontario
569900,1385,Waterside,way, Kingston, Ontario
228500,2,HUTCHESON,DRIVE, Kingston, Ontario
2500000,725,Arlington Park,place, Kingston, Ontario
634025,205,MILLPOND,place, Kingston, Ontario
484900,524,BETH,crescent, Kingston, Ontario
524760,212,MILLPOND,place, Kingston, Ontario
546190,265,Millpond,place, Kingston, Ontario
732900,248,MILLPOND,place, Kingston, Ontario
365100,1158,Horizon,drive, Kingston, Ontario
479900,464,BETH,crescent, Kingston, Ontario
609200,236,MILLPOND,place, Kingston, Ontario
608150,201,Millpond,place, Kingston, Ontario
568150,249,MILLPOND,place, Kingston, Ontario
879900,568,Savannah,court, Kingston, Ontario
658900,232,MILLPOND,place, Kingston, Ontario
489900,502,BETH,crescent, Kingston, Ontario
544760,204,MILLPOND,place, Kingston, Ontario
